,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Category_i,Genres_i,NameSize
0,4.1,159.0,19000000.0,10000,0,0.0,0,0,0,9
1,3.9,967.0,14000000.0,500000,0,0.0,0,0,1,3
2,4.7,87510.0,8700000.0,5000000,0,0.0,0,0,0,10
3,4.5,215644.0,25000000.0,50000000,0,0.0,1,0,0,5
4,4.3,967.0,2800000.0,100000,0,0.0,0,0,2,7
5,4.4,167.0,5600000.0,50000,0,0.0,0,0,0,3
6,3.8,178.0,19000000.0,50000,0,0.0,0,0,0,7
7,4.1,36815.0,29000000.0,1000000,0,0.0,0,0,0,2
8,4.4,13791.0,33000000.0,1000000,0,0.0,0,0,0,3
9,4.7,121.0,3100000.0,10000,0,0.0,0,0,2,6
10,4.4,13880.0,28000000.0,1000000,0,0.0,0,0,0,5
11,4.4,8788.0,12000000.0,1000000,0,0.0,0,0,0,8
12,4.2,44829.0,20000000.0,10000000,0,0.0,1,0,0,6
13,4.6,4326.0,21000000.0,100000,0,0.0,0,0,0,3
14,4.4,1518.0,37000000.0,100000,0,0.0,0,0,0,9
15,4.7,3632.0,5500000.0,500000,0,0.0,0,0,0,8
16,4.5,27.0,17000000.0,10000,0,0.0,0,0,0,5
17,4.3,194216.0,39000000.0,5000000,0,0.0,0,0,0,4
18,4.6,224399.0,31000000.0,10000000,0,0.0,0,0,0,3
19,4.0,450.0,14000000.0,100000,0,0.0,0,0,0,5
20,4.1,654.0,12000000.0,100000,0,0.0,0,0,0,9
21,4.7,7699.0,4200000.0,500000,0,0.0,2,0,0,5
22,4.7,118.0,23000000.0,50000,0,0.0,0,0,0,4
23,4.8,192.0,6000000.0,10000,0,0.0,0,0,0,4
24,4.7,20260.0,25000000.0,500000,0,0.0,0,0,2,5
25,4.1,203.0,6100000.0,100000,0,0.0,0,0,0,3
26,3.9,136.0,4600000.0,10000,0,0.0,0,0,0,3
27,4.1,223.0,4200000.0,100000,0,0.0,0,0,0,4
28,4.2,1120.0,9200000.0,100000,0,0.0,0,0,0,5
29,4.1,227.0,5200000.0,50000,0,0.0,0,0,0,3
30,4.5,5035.0,11000000.0,100000,0,0.0,0,0,0,4
31,4.2,1015.0,11000000.0,100000,0,0.0,0,0,0,3
32,4.7,353.0,4200000.0,10000,0,0.0,1,0,0,3
33,3.8,564.0,9200000.0,100000,0,0.0,0,0,0,7
34,4.7,8145.0,24000000.0,500000,0,0.0,0,0,2,9
35,4.1,36639.0,24000000.0,5000000,0,0.0,0,0,0,3
36,4.7,158.0,11000000.0,10000,0,0.0,0,0,0,6
37,4.0,591.0,9400000.0,500000,0,0.0,0,0,0,8
38,4.2,117.0,15000000.0,10000,0,0.0,0,0,0,4
39,4.5,176.0,10000000.0,100000,0,0.0,0,0,0,5
40,4.4,295221.0,10000000.0,10000000,0,0.0,0,0,0,5
41,3.8,2206.0,1200000.0,100000,0,0.0,0,0,2,2
42,4.2,26.0,12000000.0,10000,0,0.0,0,0,0,7
43,4.7,174531.0,24000000.0,10000000,0,0.0,0,0,0,8
44,4.6,1070.0,26000000.0,100000,0,0.0,0,0,0,11
45,4.2,85.0,8000000.0,100000,0,0.0,0,0,0,6
46,4.3,845.0,7900000.0,100000,0,0.0,0,0,0,4
47,4.2,367.0,25000000.0,100000,0,0.0,0,1,3,5
48,4.0,1598.0,56000000.0,1000000,0,0.0,0,1,3,3
49,3.8,284.0,57000000.0,100000,0,0.0,0,1,3,4
50,4.6,17057.0,57000000.0,1000000,0,0.0,0,1,3,6
51,3.9,129.0,35000000.0,100000,0,0.0,0,1,3,4
52,4.3,542.0,33000000.0,100000,0,0.0,0,1,3,7
53,4.9,10479.0,33000000.0,100000,0,0.0,0,1,3,13
54,4.4,805.0,5600000.0,50000,0,0.0,0,1,3,4
55,4.2,129.0,54000000.0,100000,0,0.0,0,1,3,3
56,4.0,1403.0,201000.0,100000,0,0.0,0,1,3,2
57,3.9,3971.0,3600000.0,100000,0,0.0,0,1,3,10
58,4.6,534.0,5700000.0,10000,0,0.0,0,1,3,2
59,4.9,7774.0,17000000.0,100000,0,0.0,0,1,3,5
60,4.3,38846.0,8600000.0,1000000,0,0.0,0,1,3,8
61,4.6,2431.0,2400000.0,100000,0,0.0,0,1,3,6
62,4.9,6090.0,27000000.0,100000,0,0.0,0,1,3,6
63,3.9,295.0,2700000.0,10000,0,0.0,0,1,3,3
64,4.0,190.0,2500000.0,50000,0,0.0,0,1,3,3
65,4.3,40211.0,2500000.0,5000000,0,0.0,0,1,3,2
66,3.9,356.0,2500000.0,100000,0,0.0,0,1,3,1
67,4.2,52530.0,7000000.0,5000000,0,0.0,0,1,3,6
68,4.8,116986.0,35000000.0,5000000,0,0.0,0,1,3,13
69,3.6,1379.0,16000000.0,500000,0,0.0,0,1,3,8
70,4.2,271920.0,16000000.0,10000000,0,0.0,1,1,3,8
71,4.8,736.0,16000000.0,100000,0,0.0,0,1,3,1
72,4.8,7021.0,17000000.0,500000,0,0.0,0,1,3,6
73,4.6,197.0,3400000.0,50000,0,0.0,0,1,3,5
74,4.5,737.0,8900000.0,100000,0,0.0,0,1,3,6
75,4.3,3574.0,3900000.0,1000000,0,0.0,2,1,3,5
76,4.5,994.0,2900000.0,100000,0,0.0,0,1,3,3
77,4.9,197136.0,38000000.0,1000000,0,0.0,0,1,3,5
78,3.9,142.0,32000000.0,50000,0,0.0,0,1,3,4
79,4.4,15168.0,37000000.0,1000000,0,0.0,0,1,3,5
80,4.0,2155.0,15000000.0,500000,0,0.0,0,1,3,2
81,4.3,138.0,5400000.0,100000,0,0.0,0,1,3,8
82,3.7,5414.0,18000000.0,1000000,0,0.0,0,1,3,10
83,4.4,21777.0,18000000.0,1000000,0,0.0,0,1,3,9
84,4.3,348.0,38000000.0,100000,0,0.0,0,1,3,3
85,3.2,250.0,1100000.0,100000,0,0.0,0,1,3,8
86,4.6,13372.0,1100000.0,1000000,0,0.0,0,1,3,7
87,4.6,7880.0,1100000.0,100000,0,0.0,0,1,3,10
88,4.5,3617.0,7900000.0,100000,0,0.0,0,1,3,2
89,3.7,4806.0,35000000.0,1000000,0,0.0,0,1,3,1
90,4.6,65786.0,35000000.0,1000000,0,0.0,0,1,3,5
91,4.6,31433.0,17000000.0,1000000,0,0.0,0,1,3,2
92,4.6,5097.0,19000000.0,1000000,0,0.0,0,1,3,16
93,4.0,1754.0,14000000.0,500000,0,0.0,0,1,3,18
94,4.4,2680.0,2200000.0,500000,0,0.0,0,1,3,6
95,4.0,1288.0,4500000.0,100000,0,0.0,0,1,3,2
96,4.7,18900.0,17000000.0,500000,0,0.0,0,2,4,5
97,4.9,49790.0,14000000.0,1000000,0,0.0,0,2,4,5
98,4.7,1150.0,9800000.0,100000,0,0.0,0,2,4,5
99,3.9,1739.0,21000000.0,500000,0,0.0,0,2,4,6
100,3.9,32090.0,21000000.0,1000000,0,0.0,0,2,4,6
101,4.2,2225.0,52000000.0,500000,0,0.0,0,2,4,3
102,4.6,4369.0,14000000.0,100000,0,0.0,0,2,4,4
103,4.3,8572.0,25000000.0,1000000,0,0.0,0,2,4,3
104,4.7,964.0,9000000.0,50000,0,0.0,0,2,4,5
105,4.7,42050.0,9000000.0,1000000,0,0.0,0,2,4,2
106,4.8,104.0,12000000.0,10000,0,0.0,0,2,4,3
107,4.2,17934.0,12000000.0,1000000,0,0.0,0,2,4,2
108,4.3,601.0,35000000.0,100000,0,0.0,0,2,4,4
109,4.5,36.0,6700000.0,10000,0,0.0,0,2,4,5
110,4.1,187.0,30000000.0,50000,0,0.0,1,2,4,8
111,4.2,30.0,2900000.0,10000,0,0.0,0,2,4,4
112,4.5,134.0,17000000.0,10000,0,0.0,0,2,4,3
